offense,offense_conference,defense,defense_conference,game_id,id,drive_number,scoring,start_period,start_yardline,start_yards_to_goal,start_time.minutes,start_time.seconds,end_period,end_yardline,end_yards_to_goal,end_time.minutes,end_time.seconds,elapsed.minutes,elapsed.seconds,plays,yards,drive_result,is_home_offense,start_offense_score,start_defense_score,end_offense_score,end_defense_score
Iowa,Big Ten,Purdue,Big Ten,401247296,4012472961,1,false,1,85,85,15,0,1,88,88,13,15,1,45,3,-3,PUNT,false,0,0,0,0
Purdue,Big Ten,Iowa,Big Ten,401247296,4012472962,2,false,1,38,62,13,15,1,41,59,11,29,1,46,3,3,PUNT,true,0,0,0,0
Iowa,Big Ten,Purdue,Big Ten,401247296,4012472963,3,false,1,86,86,11,29,1,86,86,11,0,0,29,3,0,PUNT,false,0,0,0,0
Purdue,Big Ten,Iowa,Big Ten,401247296,4012472964,4,true,1,34,66,11,0,1,100,0,7,7,3,53,9,66,TD,true,0,0,7,0
Iowa,Big Ten,Purdue,Big Ten,401247296,4012472965,5,false,1,75,75,7,7,1,16,16,4,32,2,35,7,59,FUMBLE,false,0,7,0,7
Purdue,Big Ten,Iowa,Big Ten,401247296,4012472966,6,false,1,16,84,4,32,1,42,58,2,23,2,9,5,26,PUNT,true,7,0,7,0
Iowa,Big Ten,Purdue,Big Ten,401247296,4012472967,7,false,1,97,97,2,23,2,53,53,13,59,3,24,7,44,PUNT,false,0,7,0,7
Purdue,Big Ten,Iowa,Big Ten,401247296,4012472968,8,false,2,7,93,13,59,2,2,98,12,24,1,35,3,-5,PUNT,true,7,0,7,0
Iowa,Big Ten,Purdue,Big Ten,401247296,4012472969,9,true,2,35,35,12,24,2,0,0,10,21,2,3,5,35,TD,false,0,7,7,7
Purdue,Big Ten,Iowa,Big Ten,401247296,40124729610,10,false,2,25,75,10,21,2,31,69,9,33,0,48,3,6,PUNT,true,7,7,7,7
Iowa,Big Ten,Purdue,Big Ten,401247296,40124729611,11,true,2,73,73,9,33,2,0,0,4,42,4,51,11,73,TD,false,7,7,14,7
Purdue,Big Ten,Iowa,Big Ten,401247296,40124729612,12,true,2,25,75,4,42,2,100,0,1,40,3,2,9,75,TD,true,7,14,14,14
Iowa,Big Ten,Purdue,Big Ten,401247296,40124729613,13,false,2,78,78,1,40,2,78,78,0,59,0,41,3,0,PUNT,false,14,14,14,14
Purdue,Big Ten,Iowa,Big Ten,401247296,40124729614,14,false,2,43,57,0,59,2,47,53,0,31,0,28,3,4,INT,true,14,14,14,14
Iowa,Big Ten,Purdue,Big Ten,401247296,40124729615,15,true,2,64,64,0,31,2,10,10,15,0,0,31,5,54,FG,false,14,14,17,14
Purdue,Big Ten,Iowa,Big Ten,401247296,40124729616,16,false,3,16,84,15,0,3,89,11,12,18,2,42,7,73,INT,true,14,17,14,17
Iowa,Big Ten,Purdue,Big Ten,401247296,40124729617,17,false,3,81,81,12,18,3,53,53,7,51,4,27,9,28,PUNT,false,17,14,17,14
Purdue,Big Ten,Iowa,Big Ten,401247296,40124729618,18,false,3,1,99,7,51,3,19,81,5,57,1,54,4,18,PUNT,true,14,17,14,17
Iowa,Big Ten,Purdue,Big Ten,401247296,40124729619,19,false,3,53,53,5,57,3,53,53,4,7,1,50,3,0,PUNT,false,17,14,17,14
Purdue,Big Ten,Iowa,Big Ten,401247296,40124729620,20,false,3,23,77,4,7,3,18,82,2,13,1,54,3,-5,PUNT,true,14,17,14,17
Iowa,Big Ten,Purdue,Big Ten,401247296,40124729621,21,true,3,57,57,2,13,4,15,15,13,12,4,1,10,42,FG,false,17,14,20,14
Purdue,Big Ten,Iowa,Big Ten,401247296,40124729622,22,true,4,17,83,13,12,4,88,12,8,20,4,52,14,71,FG,true,14,20,17,20
Iowa,Big Ten,Purdue,Big Ten,401247296,40124729623,23,false,4,75,75,8,20,4,28,28,6,0,2,20,6,47,FUMBLE,false,20,17,20,17
Purdue,Big Ten,Iowa,Big Ten,401247296,40124729624,24,true,4,28,72,6,0,4,100,0,2,15,3,45,12,72,TD,true,17,20,24,20
Iowa,Big Ten,Purdue,Big Ten,401247296,40124729625,25,false,4,72,72,2,15,4,56,56,1,23,0,52,5,16,DOWNS,false,20,24,20,24
Purdue,Big Ten,Iowa,Big Ten,401247296,40124729626,26,false,4,56,44,1,23,4,52,48,0,0,1,23,3,-4,END OF GAME,true,24,20,24,20
Northwestern,Big Ten,Iowa,Big Ten,401247303,4012473031,1,false,1,75,75,15,0,1,69,69,13,39,1,21,3,6,PUNT,false,0,0,0,0
Iowa,Big Ten,Northwestern,Big Ten,401247303,4012473032,2,false,1,27,73,13,39,1,35,65,11,42,1,57,3,8,FUMBLE,true,0,0,0,0
Iowa,Big Ten,Northwestern,Big Ten,401247303,4012473033,3,true,1,93,7,11,42,1,100,0,11,36,0,6,1,7,TD,true,7,0,7,0
Northwestern,Big Ten,Iowa,Big Ten,401247303,4012473034,4,false,1,75,75,11,36,1,55,55,9,58,1,38,5,20,FUMBLE,false,0,7,0,7
Iowa,Big Ten,Northwestern,Big Ten,401247303,4012473035,5,true,1,55,45,9,58,1,100,0,8,36,1,22,3,45,TD,true,7,0,14,0
Northwestern,Big Ten,Iowa,Big Ten,401247303,4012473036,6,false,1,75,75,8,36,1,79,79,6,47,1,49,3,-4,PUNT,false,0,14,0,14
Iowa,Big Ten,Northwestern,Big Ten,401247303,4012473037,7,true,1,36,64,6,47,1,97,3,1,43,5,4,13,61,FG,true,14,0,17,0
Northwestern,Big Ten,Iowa,Big Ten,401247303,4012473038,8,true,1,75,75,1,43,2,0,0,10,20,6,23,16,75,TD,false,0,17,7,17
Iowa,Big Ten,Northwestern,Big Ten,401247303,4012473039,9,true,2,34,66,10,20,2,71,29,7,9,3,11,9,37,FG,true,17,7,20,7
Northwestern,Big Ten,Iowa,Big Ten,401247303,40124730310,10,true,2,79,79,7,9,2,0,0,1,25,5,44,14,79,TD,false,7,20,14,20
Iowa,Big Ten,Northwestern,Big Ten,401247303,40124730311,11,false,2,25,75,1,25,2,66,34,0,0,1,25,12,41,DOWNS,true,20,14,20,14
Iowa,Big Ten,Northwestern,Big Ten,401247303,40124730313,12,false,3,25,75,15,0,3,32,68,12,32,2,28,6,7,PUNT,true,20,14,20,14
Northwestern,Big Ten,Iowa,Big Ten,401247303,40124730314,13,false,3,90,90,12,32,3,86,86,9,44,2,48,6,4,PUNT,false,14,20,14,20
Iowa,Big Ten,Northwestern,Big Ten,401247303,40124730315,14,false,3,44,56,9,44,3,44,56,9,36,0,8,1,0,INT,true,20,14,20,14
Northwestern,Big Ten,Iowa,Big Ten,401247303,40124730316,15,true,3,35,35,9,36,3,0,0,6,5,3,31,8,35,TD,false,14,20,21,20
Iowa,Big Ten,Northwestern,Big Ten,401247303,40124730317,16,false,3,25,75,6,5,3,32,68,4,41,1,24,3,7,PUNT,true,20,21,20,21
Northwestern,Big Ten,Iowa,Big Ten,401247303,40124730318,17,false,3,80,80,4,41,3,44,44,0,11,4,30,7,36,PUNT,false,21,20,21,20
Iowa,Big Ten,Northwestern,Big Ten,401247303,40124730319,18,false,3,8,92,0,11,4,46,54,10,24,4,47,9,38,PUNT,true,20,21,20,21
Northwestern,Big Ten,Iowa,Big Ten,401247303,40124730320,19,false,4,86,86,10,24,4,78,78,8,5,2,19,5,8,INT,false,21,20,21,20
Iowa,Big Ten,Northwestern,Big Ten,401247303,40124730321,20,false,4,64,36,8,5,4,70,30,6,49,1,16,3,6,INT,true,20,21,20,21
Northwestern,Big Ten,Iowa,Big Ten,401247303,40124730322,21,false,4,82,82,6,49,4,55,55,4,45,2,4,6,27,PUNT,false,21,20,21,20
Iowa,Big Ten,Northwestern,Big Ten,401247303,40124730323,22,false,4,13,87,4,45,4,54,46,1,55,2,50,11,41,DOWNS,true,20,21,20,21
Northwestern,Big Ten,Iowa,Big Ten,401247303,40124730324,23,false,4,54,54,1,55,4,55,55,1,29,0,26,3,-1,PUNT,false,21,20,21,20
Iowa,Big Ten,Northwestern,Big Ten,401247303,40124730325,24,false,4,18,82,1,29,4,28,72,1,0,0,29,3,10,INT,true,20,21,20,21
Northwestern,Big Ten,Iowa,Big Ten,401247303,40124730326,25,false,4,35,35,1,0,4,20,20,0,0,0,0,0,-15,Uncategorized,false,21,20,21,20
Iowa,Big Ten,Michigan State,Big Ten,401247313,4012473131,1,true,1,25,75,15,0,1,100,0,11,7,3,53,8,75,TD,true,0,0,7,0
Michigan State,Big Ten,Iowa,Big Ten,401247313,4012473132,2,false,1,75,75,11,7,1,60,60,8,28,2,39,6,15,INT,false,0,7,0,7
Iowa,Big Ten,Michigan State,Big Ten,401247313,4012473133,3,true,1,26,74,8,28,1,100,0,4,31,3,57,10,74,TD,true,7,0,14,0
Michigan State,Big Ten,Iowa,Big Ten,401247313,4012473134,4,false,1,77,77,4,31,1,68,68,3,0,1,31,3,9,PUNT,false,0,14,0,14
Iowa,Big Ten,Michigan State,Big Ten,401247313,4012473135,5,false,1,34,66,3,0,1,36,64,1,33,1,27,3,2,PUNT,true,14,0,14,0
Michigan State,Big Ten,Iowa,Big Ten,401247313,4012473136,6,false,1,80,80,1,33,2,64,64,14,16,2,17,6,16,PUNT,false,0,14,0,14
Iowa,Big Ten,Michigan State,Big Ten,401247313,4012473137,7,true,2,53,47,14,16,2,100,0,11,16,3,0,7,47,TD,true,14,0,21,0
Michigan State,Big Ten,Iowa,Big Ten,401247313,4012473138,8,false,2,74,74,11,16,2,65,65,10,33,0,43,2,9,INT,false,0,21,0,21
Iowa,Big Ten,Michigan State,Big Ten,401247313,4012473139,9,false,2,76,24,10,33,2,81,19,8,45,1,48,4,5,MISSED FG,true,21,0,21,0
Michigan State,Big Ten,Iowa,Big Ten,401247313,40124731310,10,false,2,80,80,8,45,2,82,82,6,47,1,58,3,-2,PUNT,false,0,21,0,21
Iowa,Big Ten,Michigan State,Big Ten,401247313,40124731311,11,false,2,34,66,6,47,2,37,63,5,57,0,50,3,3,PUNT,true,21,0,21,0
