offense,offense_conference,defense,defense_conference,game_id,id,drive_number,scoring,start_period,start_yardline,start_yards_to_goal,start_time.minutes,start_time.seconds,end_period,end_yardline,end_yards_to_goal,end_time.minutes,end_time.seconds,elapsed.minutes,elapsed.seconds,plays,yards,drive_result,is_home_offense,start_offense_score,start_defense_score,end_offense_score,end_defense_score
Iowa,Big Ten,Northwestern,Big Ten,401405122,4014051221,1,true,1,26,74,15,0,1,89,11,10,1,4,59,9,63,FG,true,0,0,3,0
Northwestern,Big Ten,Iowa,Big Ten,401405122,4014051222,2,false,1,75,75,10,1,1,73,73,7,11,2,50,6,2,PUNT,false,0,3,0,3
Iowa,Big Ten,Northwestern,Big Ten,401405122,4014051223,3,true,1,41,59,7,11,1,100,0,0,31,6,40,14,59,TD,true,3,0,10,0
Northwestern,Big Ten,Iowa,Big Ten,401405122,4014051224,4,false,1,75,75,0,31,2,51,51,9,28,6,3,12,24,PUNT,false,0,10,0,10
Iowa,Big Ten,Northwestern,Big Ten,401405122,4014051225,5,true,2,9,91,9,28,2,94,6,2,45,6,43,15,85,FG,true,10,0,13,0
Northwestern,Big Ten,Iowa,Big Ten,401405122,4014051226,6,false,2,75,75,2,45,2,83,83,1,29,1,16,3,-8,PUNT,false,0,13,0,13
Iowa,Big Ten,Northwestern,Big Ten,401405122,4014051227,7,true,2,50,50,1,29,2,100,0,0,22,1,7,6,50,TD,true,13,0,20,0
Northwestern,Big Ten,Iowa,Big Ten,401405122,4014051228,8,false,2,75,75,0,22,2,68,68,0,0,0,22,2,7,INT,false,0,20,0,20
Northwestern,Big Ten,Iowa,Big Ten,401405122,4014051229,9,false,3,75,75,15,0,3,53,53,10,40,4,20,11,22,PUNT,false,0,20,0,20
Iowa,Big Ten,Northwestern,Big Ten,401405122,40140512210,10,false,3,20,80,10,39,3,22,78,9,41,0,58,3,2,PUNT,true,20,0,20,0
Northwestern,Big Ten,Iowa,Big Ten,401405122,40140512211,11,true,3,34,34,9,41,3,0,0,6,17,3,24,8,34,TD,false,0,20,7,20
Iowa,Big Ten,Northwestern,Big Ten,401405122,40140512212,12,true,3,25,75,6,17,3,64,36,1,20,4,57,10,39,FG,true,20,7,23,7
Northwestern,Big Ten,Iowa,Big Ten,401405122,40140512213,13,false,3,76,76,1,12,3,73,73,0,0,1,12,3,3,PUNT,false,7,23,7,23
Iowa,Big Ten,Northwestern,Big Ten,401405122,40140512214,14,true,4,29,71,15,0,4,93,7,10,11,4,49,10,64,FG,true,23,7,26,7
Northwestern,Big Ten,Iowa,Big Ten,401405122,40140512215,15,false,4,75,75,10,11,4,72,72,6,43,3,28,7,3,PUNT,false,7,26,7,26
Iowa,Big Ten,Northwestern,Big Ten,401405122,40140512216,16,true,4,64,36,6,43,4,100,0,5,13,1,30,3,36,TD,true,26,7,33,7
Northwestern,Big Ten,Iowa,Big Ten,401405122,40140512217,17,true,4,75,75,5,13,4,0,0,0,0,5,13,15,75,TD,false,7,33,13,33
Purdue,Big Ten,Iowa,Big Ten,401405130,4014051301,1,false,1,25,75,15,0,1,59,41,12,42,2,18,6,34,PUNT,true,0,0,0,0
Iowa,Big Ten,Purdue,Big Ten,401405130,4014051302,2,false,1,80,80,12,42,1,67,67,10,31,2,11,6,13,PUNT,false,0,0,0,0
Purdue,Big Ten,Iowa,Big Ten,401405130,4014051303,3,false,1,20,80,10,31,1,44,56,7,54,2,37,4,24,PUNT,true,0,0,0,0
Iowa,Big Ten,Purdue,Big Ten,401405130,4014051304,4,false,1,77,77,7,54,1,59,59,5,51,2,3,5,18,PUNT,false,0,0,0,0
Purdue,Big Ten,Iowa,Big Ten,401405130,4014051305,5,false,1,4,96,5,51,1,51,49,3,40,2,11,5,47,PUNT,true,0,0,0,0
Iowa,Big Ten,Purdue,Big Ten,401405130,4014051306,6,true,1,91,91,3,40,2,0,0,14,23,4,17,9,91,TD,false,0,0,7,0
Purdue,Big Ten,Iowa,Big Ten,401405130,4014051307,7,false,2,23,77,14,16,2,25,75,13,31,0,45,2,2,INT,true,0,7,0,7
Iowa,Big Ten,Purdue,Big Ten,401405130,4014051308,8,true,2,51,51,13,31,2,0,0,12,53,0,38,3,51,TD,false,7,0,14,0
Purdue,Big Ten,Iowa,Big Ten,401405130,4014051309,9,false,2,35,65,12,53,2,74,26,11,32,1,21,4,39,INT,true,0,14,0,14
Iowa,Big Ten,Purdue,Big Ten,401405130,40140513010,10,true,2,85,85,11,32,2,8,8,6,11,5,21,10,77,FG,false,14,0,17,0
Purdue,Big Ten,Iowa,Big Ten,401405130,40140513011,11,true,2,30,70,6,7,2,83,17,1,40,4,27,11,53,FG,true,0,17,3,17
