offense,offense_conference,defense,defense_conference,game_id,id,drive_number,scoring,start_period,start_yardline,start_yards_to_goal,start_time.minutes,start_time.seconds,end_period,end_yardline,end_yards_to_goal,end_time.minutes,end_time.seconds,elapsed.minutes,elapsed.seconds,plays,yards,drive_result,is_home_offense,start_offense_score,start_defense_score,end_offense_score,end_defense_score
Iowa,Big Ten,Illinois,Big Ten,401012814,4010128141,1,false,1,75,75,15,0,1,67,67,14,19,0,41,2,8,INT,false,0,0,0,0
Illinois,Big Ten,Iowa,Big Ten,401012814,4010128142,2,false,1,59,41,14,19,1,56,44,12,19,2,0,4,-3,DOWNS,true,0,0,0,0
Iowa,Big Ten,Illinois,Big Ten,401012814,4010128143,3,false,1,56,56,12,19,1,38,38,9,19,3,0,6,18,PUNT,false,0,0,0,0
Illinois,Big Ten,Iowa,Big Ten,401012814,4010128144,4,false,1,2,98,9,19,1,16,84,8,10,1,9,4,14,PUNT,true,0,0,0,0
Iowa,Big Ten,Illinois,Big Ten,401012814,4010128145,5,true,1,39,39,8,10,1,0,0,6,20,1,50,4,39,TD,false,0,0,7,0
Illinois,Big Ten,Iowa,Big Ten,401012814,4010128146,6,false,1,26,74,6,20,1,26,74,4,46,1,34,3,0,PUNT,true,0,7,0,7
Iowa,Big Ten,Illinois,Big Ten,401012814,4010128147,7,false,1,65,65,4,46,1,65,65,3,6,1,40,3,0,PUNT,false,7,0,7,0
Illinois,Big Ten,Iowa,Big Ten,401012814,4010128148,8,false,1,21,79,3,6,1,23,77,2,5,1,1,3,2,PUNT,true,0,7,0,7
Iowa,Big Ten,Illinois,Big Ten,401012814,4010128149,9,true,1,58,58,2,5,2,0,0,13,50,3,15,7,58,TD,false,7,0,14,0
Illinois,Big Ten,Iowa,Big Ten,401012814,40101281410,10,true,2,25,75,13,50,2,19,81,13,42,0,8,1,-6,FUMBLE TD,true,0,14,0,21
Illinois,Big Ten,Iowa,Big Ten,401012814,40101281412,11,false,2,25,75,13,42,2,34,66,11,50,1,52,3,9,PUNT,true,0,21,0,21
Iowa,Big Ten,Illinois,Big Ten,401012814,40101281413,12,true,2,11,11,11,50,2,0,0,11,43,0,7,1,11,TD,false,28,0,28,0
Illinois,Big Ten,Iowa,Big Ten,401012814,40101281414,13,false,2,25,75,11,43,2,46,54,7,37,4,6,7,21,PUNT,true,0,28,0,28
Iowa,Big Ten,Illinois,Big Ten,401012814,40101281415,14,true,2,83,83,7,37,2,0,0,5,10,2,27,4,83,TD,false,28,0,35,0
Illinois,Big Ten,Iowa,Big Ten,401012814,40101281416,15,false,2,25,75,5,10,2,59,41,1,1,4,9,9,34,INT,true,0,35,0,35
Iowa,Big Ten,Illinois,Big Ten,401012814,40101281417,16,false,2,98,98,1,1,2,92,92,0,32,0,29,3,6,PUNT,false,35,0,35,0
Illinois,Big Ten,Iowa,Big Ten,401012814,40101281418,17,false,2,54,46,0,32,2,60,40,0,6,0,26,4,6,DOWNS,true,0,35,0,35
Iowa,Big Ten,Illinois,Big Ten,401012814,40101281419,18,false,2,60,60,0,6,2,48,48,0,0,0,6,1,12,END OF HALF,false,35,0,35,0
Illinois,Big Ten,Iowa,Big Ten,401012814,40101281420,19,true,3,25,75,15,0,3,22,78,13,26,1,34,3,-3,PUNT RETURN TD,true,0,35,0,42
Illinois,Big Ten,Iowa,Big Ten,401012814,40101281422,20,false,3,25,75,13,26,3,54,46,10,50,2,36,6,29,INT,true,0,42,0,42
Iowa,Big Ten,Illinois,Big Ten,401012814,40101281423,21,true,3,20,20,10,50,3,0,0,8,11,2,39,6,20,TD,false,42,0,49,0
Illinois,Big Ten,Iowa,Big Ten,401012814,40101281424,22,false,3,25,75,8,11,3,47,53,5,28,2,43,7,22,PUNT,true,0,49,0,49
Iowa,Big Ten,Illinois,Big Ten,401012814,40101281425,23,false,3,68,68,5,28,3,49,49,3,14,2,14,5,19,PUNT,false,49,0,49,0
Illinois,Big Ten,Iowa,Big Ten,401012814,40101281426,24,false,3,13,87,3,14,3,19,81,2,6,1,8,3,6,PUNT,true,0,49,0,49
Iowa,Big Ten,Illinois,Big Ten,401012814,40101281427,25,false,3,73,73,2,6,3,78,78,0,0,2,6,3,-5,PUNT,false,49,0,49,0
Illinois,Big Ten,Iowa,Big Ten,401012814,40101281428,26,false,4,45,55,14,51,4,60,40,13,9,1,42,6,15,DOWNS,true,0,49,0,49
Iowa,Big Ten,Illinois,Big Ten,401012814,40101281429,27,true,4,60,60,13,9,4,0,0,11,10,1,59,5,60,TD,false,49,0,56,0
Illinois,Big Ten,Iowa,Big Ten,401012814,40101281430,28,false,4,16,84,11,10,4,6,94,9,41,1,29,3,-10,PUNT,true,0,56,0,56
Iowa,Big Ten,Illinois,Big Ten,401012814,40101281431,29,true,4,51,51,9,41,4,0,0,5,47,3,54,7,51,TD,false,56,0,63,0
Illinois,Big Ten,Iowa,Big Ten,401012814,40101281432,30,false,4,25,75,5,47,4,52,48,2,7,3,40,7,27,INT,true,0,63,0,63
Iowa,Big Ten,Illinois,Big Ten,401012814,40101281433,31,false,4,47,47,2,7,4,42,42,0,0,2,7,3,5,END OF GAME,false,63,0,63,0
Indiana,Big Ten,Iowa,Big Ten,401012856,4010128561,1,true,1,25,75,15,0,1,89,11,10,32,4,28,13,64,FG,true,0,0,3,0
Iowa,Big Ten,Indiana,Big Ten,401012856,4010128562,2,true,1,74,74,10,32,1,0,0,7,15,3,17,10,74,TD,false,0,3,7,3
Indiana,Big Ten,Iowa,Big Ten,401012856,4010128563,3,false,1,25,75,7,15,1,9,91,5,28,1,47,4,0,DOWNS,true,3,7,3,7
Indiana,Big Ten,Iowa,Big Ten,401012856,4010128564,4,true,1,70,30,5,28,1,28,72,1,21,4,7,11,28,DOWNS TD,true,3,7,3,14
Indiana,Big Ten,Iowa,Big Ten,401012856,4010128565,5,false,1,25,75,1,21,1,28,72,0,17,1,4,3,0,DOWNS,true,3,14,3,14
Indiana,Big Ten,Iowa,Big Ten,401012856,4010128566,6,false,1,78,22,0,17,2,38,62,12,51,2,26,6,19,INT,true,3,14,3,14
Indiana,Big Ten,Iowa,Big Ten,401012856,4010128567,7,true,2,66,34,12,51,2,100,0,12,17,0,34,2,34,TD,true,3,14,10,14
