offense,offense_conference,defense,defense_conference,game_id,id,drive_number,scoring,start_period,start_yardline,start_yards_to_goal,start_time.minutes,start_time.seconds,end_period,end_yardline,end_yards_to_goal,end_time.minutes,end_time.seconds,elapsed.minutes,elapsed.seconds,plays,yards,drive_result,is_home_offense,start_offense_score,start_defense_score,end_offense_score,end_defense_score
Iowa State,Big 12,Iowa,Big Ten,400934499,4009344991,1,false,1,18,82,15,0,1,61,39,13,7,1,53,5,21,PUNT,true,0,0,0,0
Iowa,Big Ten,Iowa State,Big 12,400934499,4009344992,2,false,1,76,76,13,7,1,81,81,10,53,2,14,3,-5,PUNT,false,0,0,0,0
Iowa State,Big 12,Iowa,Big Ten,400934499,4009344993,3,true,1,40,60,10,53,1,100,0,9,3,1,50,4,60,TD,true,0,0,7,0
Iowa,Big Ten,Iowa State,Big 12,400934499,4009344994,4,true,1,76,76,9,3,1,0,0,4,23,4,40,10,76,TD,false,0,7,7,7
Iowa State,Big 12,Iowa,Big Ten,400934499,4009344995,5,false,1,25,75,4,23,1,85,15,3,23,1,0,3,-10,PUNT,true,7,7,7,7
Iowa,Big Ten,Iowa State,Big 12,400934499,4009344996,6,false,1,61,61,3,23,1,57,57,0,57,2,26,3,4,PUNT,false,7,7,7,7
Iowa State,Big 12,Iowa,Big Ten,400934499,4009344997,7,true,1,14,86,0,57,2,94,6,11,5,4,52,14,80,FG,true,7,7,10,7
Iowa,Big Ten,Iowa State,Big 12,400934499,4009344998,8,false,2,71,71,11,5,2,50,50,7,21,3,44,7,21,PUNT,false,7,10,7,10
Iowa State,Big 12,Iowa,Big Ten,400934499,4009344999,9,false,2,15,85,7,21,2,52,48,5,56,1,25,5,37,PUNT,true,10,7,10,7
Iowa,Big Ten,Iowa State,Big 12,400934499,40093449910,10,true,2,91,91,5,56,2,0,0,0,52,5,4,10,91,TD,false,7,10,14,10
Iowa State,Big 12,Iowa,Big Ten,400934499,40093449911,11,false,2,28,72,0,52,2,70,30,0,0,0,52,1,2,END OF HALF,true,10,14,10,14
Iowa,Big Ten,Iowa State,Big 12,400934499,40093449912,12,false,3,77,77,15,0,3,73,73,13,21,1,39,3,4,PUNT,false,14,10,14,10
Iowa State,Big 12,Iowa,Big Ten,400934499,40093449913,13,false,3,37,63,13,21,3,61,39,12,26,0,55,3,2,PUNT,true,10,14,10,14
Iowa,Big Ten,Iowa State,Big 12,400934499,40093449914,14,true,3,94,94,12,26,3,0,0,7,21,5,5,11,94,TD,false,14,10,21,10
Iowa State,Big 12,Iowa,Big Ten,400934499,40093449915,15,true,3,25,75,7,21,3,100,0,4,37,2,44,10,75,TD,true,10,21,17,21
Iowa,Big Ten,Iowa State,Big 12,400934499,40093449916,16,false,3,75,75,4,37,3,86,86,2,30,2,7,3,-11,PUNT,false,21,17,21,17
Iowa State,Big 12,Iowa,Big Ten,400934499,40093449917,17,true,3,42,58,2,30,3,100,0,0,52,1,38,6,58,TD,true,17,21,24,21
