offense,offense_conference,defense,defense_conference,game_id,id,drive_number,scoring,start_period,start_yardline,start_yards_to_goal,start_time.minutes,start_time.seconds,end_period,end_yardline,end_yards_to_goal,end_time.minutes,end_time.seconds,elapsed.minutes,elapsed.seconds,plays,yards,drive_result,is_home_offense,start_offense_score,start_defense_score,end_offense_score,end_defense_score
Iowa,Big Ten,Iowa State,Big 12,401112086,4011120861,1,true,1,75,75,15,0,1,7,7,7,37,7,23,15,68,FG,false,0,0,3,0
Iowa State,Big 12,Iowa,Big Ten,401112086,4011120862,2,true,1,86,14,7,37,1,100,0,5,44,1,53,5,86,TD,true,0,3,7,3
Iowa,Big Ten,Iowa State,Big 12,401112086,4011120863,3,false,1,87,87,5,44,1,81,81,4,42,1,2,3,6,PUNT,false,3,7,3,7
Iowa State,Big 12,Iowa,Big Ten,401112086,4011120864,4,false,1,66,34,4,42,1,63,37,1,45,2,57,6,29,PUNT,true,7,3,7,3
Iowa,Big Ten,Iowa State,Big 12,401112086,4011120865,5,false,1,80,80,1,45,2,50,50,13,24,3,21,7,30,PUNT,false,3,7,3,7
Iowa State,Big 12,Iowa,Big Ten,401112086,4011120866,6,false,2,80,20,13,24,2,52,48,9,35,3,49,7,32,PUNT,true,7,3,7,3
Iowa,Big Ten,Iowa State,Big 12,401112086,4011120867,7,false,2,96,96,9,35,2,94,94,7,23,2,12,3,2,PUNT,false,3,7,3,7
Iowa State,Big 12,Iowa,Big Ten,401112086,4011120868,8,false,2,52,48,7,23,2,70,30,5,1,2,22,5,22,FUMBLE,true,7,3,7,3
Iowa,Big Ten,Iowa State,Big 12,401112086,4011120869,9,true,2,81,81,5,1,2,65,65,0,0,5,1,12,59,END OF HALF,false,3,7,6,7
Iowa State,Big 12,Iowa,Big Ten,401112086,40111208610,10,true,3,76,24,15,0,3,100,0,14,3,0,57,2,76,TD,true,7,6,14,6
Iowa,Big Ten,Iowa State,Big 12,401112086,40111208611,11,false,3,73,73,14,3,3,64,64,12,19,1,44,3,9,PUNT,false,6,14,6,14
Iowa State,Big 12,Iowa,Big Ten,401112086,40111208612,12,false,3,87,13,12,19,3,58,42,8,21,3,58,8,45,PUNT,true,14,6,14,6
Iowa,Big Ten,Iowa State,Big 12,401112086,40111208613,13,true,3,80,80,8,21,3,24,24,2,15,6,6,12,56,FG,false,6,14,9,14
Iowa State,Big 12,Iowa,Big Ten,401112086,40111208614,14,false,3,94,6,2,15,3,94,6,0,24,1,51,3,0,PUNT,true,14,9,14,9
Iowa,Big Ten,Iowa State,Big 12,401112086,40111208615,15,true,3,25,25,0,24,4,0,0,12,10,3,14,7,25,TD,false,9,14,15,14
Iowa State,Big 12,Iowa,Big Ten,401112086,40111208616,16,true,4,75,25,12,10,4,91,9,7,46,4,24,13,66,FG,true,14,15,17,15
Iowa,Big Ten,Iowa State,Big 12,401112086,40111208617,17,true,4,75,75,7,46,4,21,21,4,51,2,55,8,54,FG,false,15,17,18,17
Iowa State,Big 12,Iowa,Big Ten,401112086,40111208618,18,false,4,75,25,4,51,4,61,39,2,0,2,51,6,36,DOWNS,true,17,18,17,18
Iowa,Big Ten,Iowa State,Big 12,401112086,40111208619,19,false,4,61,61,2,0,4,64,64,1,29,0,31,3,-3,FUMBLE,false,18,17,18,17
Iowa,Big Ten,Iowa State,Big 12,401112086,40111208620,20,false,4,22,22,1,29,4,30,30,0,0,1,29,3,-8,END OF GAME,false,18,17,18,17
Iowa,Big Ten,Illinois,Big Ten,401112155,4011121551,1,true,1,25,75,15,0,1,100,0,10,16,4,44,9,75,TD,true,0,0,7,0
Illinois,Big Ten,Iowa,Big Ten,401112155,4011121552,2,false,1,75,75,10,16,1,69,69,9,10,0,0,3,6,INT,false,0,7,0,7
