offense,offense_conference,defense,defense_conference,game_id,id,drive_number,scoring,start_period,start_yardline,start_yards_to_goal,start_time.minutes,start_time.seconds,end_period,end_yardline,end_yards_to_goal,end_time.minutes,end_time.seconds,elapsed.minutes,elapsed.seconds,plays,yards,drive_result,is_home_offense,start_offense_score,start_defense_score,end_offense_score,end_defense_score
Illinois,Big Ten,Iowa,Big Ten,401282721,4012827211,1,true,1,75,75,15,0,1,0,0,8,37,6,23,12,75,TD,false,0,0,7,0
Iowa,Big Ten,Illinois,Big Ten,401282721,4012827212,2,false,1,22,78,8,31,1,28,72,4,41,3,50,8,6,DOWNS,true,0,7,0,7
Illinois,Big Ten,Iowa,Big Ten,401282721,4012827213,3,true,1,28,28,4,41,1,28,28,3,20,1,21,4,0,FG,false,7,0,10,0
Illinois,Big Ten,Iowa,Big Ten,401282721,4012827214,4,false,1,75,75,3,5,1,72,72,1,30,1,35,3,3,PUNT,false,10,7,21,15
Iowa,Big Ten,Illinois,Big Ten,401282721,4012827215,5,true,1,50,50,1,30,2,100,0,14,8,2,22,7,50,TD,true,7,10,15,21
Illinois,Big Ten,Iowa,Big Ten,401282721,4012827216,6,false,2,75,75,14,8,2,69,69,13,7,1,1,3,6,PUNT,false,10,14,10,14
Iowa,Big Ten,Illinois,Big Ten,401282721,4012827217,7,true,2,9,91,13,7,2,67,33,6,41,6,26,11,58,FG,true,14,10,17,10
Illinois,Big Ten,Iowa,Big Ten,401282721,4012827218,8,true,2,75,75,6,41,2,27,27,3,13,3,28,8,48,FG,false,10,17,13,17
Iowa,Big Ten,Illinois,Big Ten,401282721,4012827219,9,false,2,25,75,3,7,2,33,67,1,10,1,57,3,8,PUNT,true,17,13,17,13
Illinois,Big Ten,Iowa,Big Ten,401282721,40128272110,10,false,2,75,75,1,10,2,70,70,0,54,0,16,3,5,INT,false,13,17,13,17
Iowa,Big Ten,Illinois,Big Ten,401282721,40128272111,11,false,2,59,41,0,54,2,61,39,0,38,0,16,4,2,MISSED FG,true,17,13,17,13
Illinois,Big Ten,Iowa,Big Ten,401282721,40128272112,12,false,2,61,61,0,38,2,54,54,0,7,0,31,3,7,PUNT,false,13,17,13,17
Iowa,Big Ten,Illinois,Big Ten,401282721,40128272113,13,false,2,15,85,0,7,2,13,87,0,0,0,7,1,-2,END OF HALF,true,17,13,17,13
Iowa,Big Ten,Illinois,Big Ten,401282721,40128272114,14,true,3,28,72,14,56,3,70,30,9,12,5,44,11,42,FG,true,17,13,20,13
Illinois,Big Ten,Iowa,Big Ten,401282721,40128272115,15,false,3,75,75,9,12,3,86,86,7,1,2,11,3,-11,PUNT,false,13,20,13,20
Iowa,Big Ten,Illinois,Big Ten,401282721,40128272116,16,false,3,32,68,7,1,3,61,39,4,41,2,20,6,29,PUNT,true,20,13,20,13
Illinois,Big Ten,Iowa,Big Ten,401282721,40128272117,17,true,3,80,80,4,43,3,35,35,2,46,1,57,5,45,FG,false,13,20,16,20
