offense,offense_conference,defense,defense_conference,game_id,id,drive_number,scoring,start_period,start_yardline,start_yards_to_goal,start_time.minutes,start_time.seconds,end_period,end_yardline,end_yards_to_goal,end_time.minutes,end_time.seconds,elapsed.minutes,elapsed.seconds,plays,yards,drive_result,is_home_offense,start_offense_score,start_defense_score,end_offense_score,end_defense_score
Iowa,Big Ten,Iowa State,Big 12,400868888,4008688881,1,false,1,25,75,15,0,1,54,46,12,29,2,31,5,29,PUNT,true,0,0,0,0
Iowa State,Big 12,Iowa,Big Ten,400868888,4008688882,2,false,1,86,86,12,29,1,83,83,11,37,0,52,3,3,PUNT,false,0,0,0,0
Iowa,Big Ten,Iowa State,Big 12,400868888,4008688883,3,true,1,58,42,11,37,1,100,0,8,42,2,55,7,42,TD,true,0,0,7,0
Iowa State,Big 12,Iowa,Big Ten,400868888,4008688884,4,false,1,75,75,8,42,1,70,70,7,15,1,27,3,5,PUNT,false,0,7,0,7
Iowa,Big Ten,Iowa State,Big 12,400868888,4008688885,5,true,1,34,66,7,15,1,100,0,5,42,1,33,4,66,TD,true,7,0,14,0
Iowa State,Big 12,Iowa,Big Ten,400868888,4008688886,6,true,1,77,77,5,42,1,14,14,0,32,5,10,11,63,FG,false,0,14,3,14
Iowa,Big Ten,Iowa State,Big 12,400868888,4008688887,7,true,1,34,66,0,32,2,100,0,10,15,5,17,10,66,TD,true,14,3,21,3
Iowa State,Big 12,Iowa,Big Ten,400868888,4008688888,8,false,2,75,75,10,15,2,58,58,7,42,2,33,5,17,PUNT,false,3,21,3,21
Iowa,Big Ten,Iowa State,Big 12,400868888,4008688889,9,true,2,14,86,7,42,2,100,0,2,17,5,25,9,86,TD,true,21,3,28,3
Iowa State,Big 12,Iowa,Big Ten,400868888,40086888810,10,false,2,76,76,2,11,2,48,48,0,0,2,11,7,28,DOWNS,false,3,28,3,28
Iowa State,Big 12,Iowa,Big Ten,400868888,40086888812,11,false,3,75,75,15,0,3,49,49,12,53,2,7,7,26,PUNT,false,3,28,3,28
Iowa,Big Ten,Iowa State,Big 12,400868888,40086888813,12,false,3,20,80,12,53,3,23,77,11,4,1,49,5,3,PUNT,true,28,3,28,3
Iowa State,Big 12,Iowa,Big Ten,400868888,40086888814,13,false,3,68,68,11,4,3,61,61,9,34,1,30,3,7,PUNT,false,3,28,3,28
Iowa,Big Ten,Iowa State,Big 12,400868888,40086888815,14,false,3,13,87,9,34,3,20,80,7,21,2,13,6,7,PUNT,true,28,3,28,3
Iowa State,Big 12,Iowa,Big Ten,400868888,40086888816,15,false,3,68,68,7,21,3,66,66,6,31,0,50,3,2,PUNT,false,3,28,3,28
Iowa,Big Ten,Iowa State,Big 12,400868888,40086888817,16,true,3,32,68,6,31,3,100,0,3,18,3,13,6,68,TD,true,28,3,35,3
Iowa State,Big 12,Iowa,Big Ten,400868888,40086888818,17,false,3,75,75,3,18,3,63,63,1,50,1,28,4,12,INT,false,3,35,3,35
Iowa,Big Ten,Iowa State,Big 12,400868888,40086888819,18,true,3,57,43,1,50,3,100,0,1,33,0,17,2,43,TD,true,35,3,42,3
Iowa State,Big 12,Iowa,Big Ten,400868888,40086888820,19,false,3,75,75,1,33,4,44,44,14,29,2,4,6,31,PUNT,false,3,42,3,42
Iowa,Big Ten,Iowa State,Big 12,400868888,40086888821,20,false,4,20,80,14,29,4,43,57,11,8,3,21,5,23,PUNT,true,42,3,42,3
Iowa State,Big 12,Iowa,Big Ten,400868888,40086888822,21,false,4,91,91,11,8,4,42,42,6,53,4,15,10,49,PUNT,false,3,42,3,42
Iowa,Big Ten,Iowa State,Big 12,400868888,40086888823,22,false,4,28,72,6,53,4,24,76,5,12,1,41,3,-4,PUNT,true,42,3,42,3
Iowa State,Big 12,Iowa,Big Ten,400868888,40086888824,23,false,4,66,66,5,12,4,43,43,1,53,3,19,9,23,PUNT,false,3,42,3,42
Iowa,Big Ten,Iowa State,Big 12,400868888,40086888825,24,false,4,17,83,1,53,4,36,64,0,0,1,53,4,19,END OF GAME,true,42,3,42,3
Miami (OH),Mid-American,Iowa,Big Ten,400869262,4008692621,1,false,1,75,75,15,0,1,57,57,12,3,2,57,5,18,PUNT,false,0,0,0,0
